,category,df1,df2,spearman_corr,spearman_p_value,pearson_corr,pearson_p_value
0,adds,SC,viclip_score,0.2182672999253465,0.30553978770329043,0.21103361835594606,0.32223984091950286
1,adds,PQ,viclip_score,-0.13231379499438078,0.5376843116989156,-0.12188122610276086,0.5704827538611481
2,changes,SC,viclip_score,-0.045623752970468986,0.6858874289474306,-0.027678740748203152,0.8062366990659369
3,changes,PQ,viclip_score,-0.14518375642237083,0.19593888075544333,-0.11990532574609643,0.2863209001116055
4,removals,SC,viclip_score,0.24688535993934702,0.3750377659550769,0.3387778413018938,0.2167611869622735
5,removals,PQ,viclip_score,-0.15913728452086684,0.5710560437803177,-0.10286238722905228,0.7152661242054342
6,replacements,SC,viclip_score,-0.38916595178178803,0.060160882110864414,-0.39417584684075124,0.056654798971066955
7,replacements,PQ,viclip_score,-0.34057354295988873,0.10341807858819993,-0.32831468349966236,0.11727270291001772
8,what if,SC,viclip_score,0.11537322461489832,0.5092679810951986,0.07358617494043945,0.6744112227518267
9,what if,PQ,viclip_score,0.1344089317193931,0.441419538616047,0.14683172772012817,0.39995794675966784
